                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1632,                 1.4505,                 1.4965,                0.52303,                 0.6631,                0.57107,                0.23983,                 1.8047,                 2.1394,                 2.6049,               0.003862,               0.003862,               0.003862
                     65,                 1.2159,                 1.5511,                 1.6311,                0.51828,                0.64762,                0.63219,                0.27109,                 1.8412,                 2.2446,                 2.6072,               0.003763,               0.003763,               0.003763
                     66,                 1.1338,                 1.4152,                 1.4587,                 0.5554,                0.68095,                0.60546,                0.26068,                 1.8733,                 2.1959,                 2.6764,               0.003664,               0.003664,               0.003664
                     67,                 1.1238,                 1.4102,                 1.4491,                0.60295,                0.64762,                0.60809,                 0.2693,                 1.8759,                 2.1725,                  2.747,               0.003565,               0.003565,               0.003565
                     68,                 1.2426,                 1.5353,                 1.5477,                0.58688,                0.61667,                0.56916,                0.25597,                 1.8505,                 2.0802,                 2.6448,               0.003466,               0.003466,               0.003466
                     69,                 1.2494,                 1.5877,                 1.6355,                0.67088,                0.66786,                0.61211,                0.27688,                 1.8111,                 1.9956,                 2.5518,               0.003367,               0.003367,               0.003367
                     70,                 1.1928,                  1.467,                 1.5929,                 0.6223,                0.63452,                0.58912,                0.26772,                 1.7992,                 1.8715,                 2.5158,               0.003268,               0.003268,               0.003268
                     71,                 1.1431,                 1.4327,                 1.5002,                 0.6182,                0.66786,                0.64354,                0.30563,                 1.7791,                 1.8432,                 2.5822,               0.003169,               0.003169,               0.003169
                     72,                 1.1384,                 1.4199,                 1.5065,                0.65298,                0.63737,                 0.6072,                0.27953,                 1.7802,                 1.7855,                 2.6068,                0.00307,                0.00307,                0.00307
                     73,                  1.158,                 1.4161,                 1.5572,                0.70433,                0.63214,                0.63212,                 0.2852,                 1.8146,                 1.6522,                 2.7185,               0.002971,               0.002971,               0.002971
                     74,                 1.1761,                 1.4569,                 1.5175,                0.63051,                0.71018,                0.64307,                0.29017,                 1.8412,                  1.619,                 2.7876,               0.002872,               0.002872,               0.002872
                     75,                 1.1862,                 1.4651,                  1.553,                0.59007,                0.76239,                0.64833,                0.28675,                 1.8166,                 1.6599,                 2.7182,               0.002773,               0.002773,               0.002773
                     76,                 1.0984,                 1.3934,                 1.5178,                 0.5462,                 0.7369,                0.59418,                  0.285,                 1.8024,                 1.6578,                 2.6507,               0.002674,               0.002674,               0.002674
                     77,                 1.1703,                 1.4515,                 1.5407,                0.47159,                0.65936,                0.52767,                0.26554,                 1.7626,                 1.7246,                 2.5526,               0.002575,               0.002575,               0.002575
                     78,                 1.1794,                 1.4306,                 1.5438,                0.48133,                0.70119,                0.53485,                0.26983,                 1.7908,                 1.7938,                 2.6397,               0.002476,               0.002476,               0.002476
                     79,                 1.1396,                 1.4112,                  1.531,                0.47999,                0.64762,                0.58154,                0.33207,                  1.809,                 1.8222,                 2.6745,               0.002377,               0.002377,               0.002377
                     80,                 1.1096,                 1.4226,                 1.4985,                0.54314,                0.66152,                0.60766,                 0.3469,                 1.8211,                 1.7816,                 2.6548,               0.002278,               0.002278,               0.002278
                     81,                 1.0757,                  1.411,                 1.4943,                0.59069,                0.66583,                0.63339,                0.34571,                 1.8702,                 1.7183,                 2.6847,               0.002179,               0.002179,               0.002179
                     82,                 1.1417,                 1.4429,                 1.4744,                0.63651,                0.65243,                 0.6508,                0.34488,                   1.85,                 1.6684,                 2.6505,                0.00208,                0.00208,                0.00208
                     83,                 1.0814,                  1.339,                 1.4554,                0.81284,                 0.5631,                 0.6454,                 0.3545,                 1.8095,                 1.6407,                 2.5394,               0.001981,               0.001981,               0.001981
                     84,                 1.0459,                 1.3193,                  1.451,                0.72613,                0.60886,                0.69155,                0.36358,                 1.7585,                 1.6118,                 2.4134,               0.001882,               0.001882,               0.001882
                     85,                 1.0771,                 1.3638,                 1.4443,                0.62939,                0.64273,                0.65115,                0.36142,                 1.7074,                 1.5819,                 2.3178,               0.001783,               0.001783,               0.001783
                     86,                 1.0714,                 1.3269,                 1.4506,                0.67842,                   0.65,                 0.6308,                0.34741,                 1.6592,                 1.5385,                 2.2788,               0.001684,               0.001684,               0.001684
                     87,                 1.2065,                  1.449,                 1.5642,                 0.6336,                0.70119,                0.64244,                 0.3607,                 1.6499,                 1.5664,                 2.2737,               0.001585,               0.001585,               0.001585
                     88,                 1.0344,                 1.3351,                 1.3886,                0.64762,                0.70757,                0.65412,                0.36065,                 1.6662,                  1.545,                 2.2952,               0.001486,               0.001486,               0.001486
                     89,                 1.0446,                 1.4017,                 1.4541,                0.71981,                0.71905,                0.67716,                0.35415,                 1.7104,                 1.5152,                 2.3623,               0.001387,               0.001387,               0.001387
                     90,                 1.0952,                 1.3372,                 1.4274,                0.75696,                0.71905,                0.70346,                0.35488,                 1.7302,                 1.5286,                 2.4234,               0.001288,               0.001288,               0.001288
                     91,                 1.1341,                 1.5509,                 1.6347,                0.75172,                0.71603,                 0.7233,                0.34254,                 1.7616,                  1.513,                 2.5004,               0.001189,               0.001189,               0.001189
                     92,                 1.1474,                  1.521,                  1.665,                0.73787,                0.72554,                0.74739,                0.34295,                 1.7591,                 1.5219,                 2.5492,                0.00109,                0.00109,                0.00109
                     93,                 1.0731,                  1.427,                 1.6081,                0.74266,                0.71277,                0.73681,                0.34507,                 1.7351,                 1.4788,                 2.5527,               0.000991,               0.000991,               0.000991
                     94,                 1.1446,                 1.4149,                  1.656,                0.75115,                0.69549,                0.73122,                0.35824,                 1.7532,                 1.5136,                 2.5721,               0.000892,               0.000892,               0.000892
                     95,                  1.063,                 1.3243,                 1.5998,                0.80884,                0.64762,                0.72088,                0.34853,                 1.7744,                 1.5718,                 2.6077,               0.000793,               0.000793,               0.000793
                     96,                 1.0059,                 1.3718,                 1.5743,                0.79709,                0.64762,                0.72546,                0.34833,                 1.7983,                 1.6079,                 2.6338,               0.000694,               0.000694,               0.000694
                     97,                 1.0176,                 1.3338,                 1.5841,                0.76286,                0.64762,                0.70831,                0.34981,                 1.8023,                 1.6483,                 2.6452,               0.000595,               0.000595,               0.000595
                     98,                0.94189,                 1.2926,                 1.5244,                0.76417,                0.64887,                0.70386,                0.34579,                 1.8326,                 1.6502,                 2.6704,               0.000496,               0.000496,               0.000496
                     99,                 1.0257,                 1.3082,                 1.5917,                0.75569,                0.64762,                0.70632,                0.34702,                 1.8388,                 1.6602,                  2.671,               0.000397,               0.000397,               0.000397
                    100,                 1.0025,                 1.3063,                 1.5951,                0.81622,                0.65999,                0.71237,                0.35725,                 1.8193,                 1.6491,                 2.6314,               0.000298,               0.000298,               0.000298
