                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0192,                 1.1252,                 1.2929,                0.70835,                0.63636,                0.75327,                 0.4342,                 1.4541,                 1.3356,                 1.8555,               0.002377,               0.002377,               0.002377
                     80,                 1.1668,                 1.1752,                 1.4035,                0.59985,                0.81769,                0.77242,                0.44294,                 1.4209,                 1.3286,                 1.8343,               0.002278,               0.002278,               0.002278
                     81,                 1.0684,                 1.0565,                 1.3159,                0.54908,                0.77273,                0.72998,                0.42408,                 1.4859,                  1.389,                 1.9157,               0.002179,               0.002179,               0.002179
                     82,                0.98652,                 1.0199,                 1.2777,                0.63132,                0.70455,                 0.7348,                0.43011,                 1.5183,                 1.3757,                 1.9552,                0.00208,                0.00208,                0.00208
                     83,                 1.0439,                 1.1208,                 1.3534,                 0.8306,                0.55738,                0.74594,                0.44075,                 1.5073,                 1.3444,                 1.9241,               0.001981,               0.001981,               0.001981
                     84,                 1.0174,                 1.0188,                 1.3074,                0.55416,                0.84091,                0.75523,                0.43584,                 1.5141,                 1.3274,                   1.92,               0.001882,               0.001882,               0.001882
                     85,                 1.1053,                 1.1067,                 1.4366,                0.60231,                0.77273,                0.76053,                0.43753,                 1.4331,                 1.3012,                 1.8485,               0.001783,               0.001783,               0.001783
                     86,                0.93879,                 1.0587,                 1.2621,                0.69071,                   0.75,                0.77658,                0.45572,                 1.3735,                 1.2406,                 1.7791,               0.001684,               0.001684,               0.001684
                     87,                 1.0895,                 1.0822,                 1.3323,                0.67103,                0.77273,                0.77201,                0.45902,                 1.3315,                 1.2246,                 1.7367,               0.001585,               0.001585,               0.001585
                     88,                0.94535,                 1.0461,                 1.2393,                0.81017,                0.65909,                 0.7817,                0.46219,                 1.3906,                 1.2424,                 1.8468,               0.001486,               0.001486,               0.001486
                     89,                 1.0329,                  1.161,                  1.247,                0.75693,                0.68182,                 0.7791,                0.46939,                  1.361,                 1.2293,                 1.8186,               0.001387,               0.001387,               0.001387
                     90,                 1.0839,                 1.1909,                 1.4233,                0.77741,                0.71451,                0.78593,                0.48092,                 1.3327,                 1.1911,                 1.7846,               0.001288,               0.001288,               0.001288
                     91,                0.92635,                 1.2907,                 1.2945,                0.79171,                0.69125,                0.79117,                0.49787,                 1.3245,                 1.1975,                 1.7571,               0.001189,               0.001189,               0.001189
                     92,                0.97639,                 1.4197,                 1.3949,                0.70487,                0.76006,                0.80946,                0.48817,                 1.3274,                  1.199,                 1.7404,                0.00109,                0.00109,                0.00109
                     93,                0.95385,                 1.2313,                  1.245,                 0.6693,                   0.75,                0.78668,                0.46924,                 1.3384,                 1.2286,                 1.7386,               0.000991,               0.000991,               0.000991
                     94,                0.96228,                   1.35,                  1.372,                0.77749,                0.65909,                0.78583,                0.47419,                 1.3302,                 1.2449,                 1.7524,               0.000892,               0.000892,               0.000892
                     95,                 1.0637,                 1.1412,                 1.3958,                0.75295,                0.69281,                0.79198,                0.46537,                 1.3166,                 1.2496,                 1.7264,               0.000793,               0.000793,               0.000793
                     96,                 1.1735,                 1.2789,                  1.433,                0.79768,                0.65909,                0.80266,                0.47243,                  1.297,                 1.2299,                 1.7242,               0.000694,               0.000694,               0.000694
                     97,                0.98572,                 1.2557,                 1.3434,                0.72456,                0.71756,                0.80596,                0.48523,                 1.2603,                 1.2315,                 1.7047,               0.000595,               0.000595,               0.000595
                     98,                0.87323,                0.99357,                 1.2311,                0.74422,                0.72741,                0.81555,                0.48949,                 1.2648,                 1.2417,                   1.71,               0.000496,               0.000496,               0.000496
                     99,                0.98438,                 1.0256,                 1.2946,                0.83437,                0.68705,                0.81513,                0.49011,                 1.2628,                 1.2462,                 1.7102,               0.000397,               0.000397,               0.000397
                    100,                 1.2384,                 1.2875,                 1.7447,                 0.8332,                0.70455,                0.81298,                0.49423,                 1.2772,                 1.2568,                 1.7329,               0.000298,               0.000298,               0.000298
